key,title,comment,no_sync,rfc,rfc_section,rfc_appendix,cite_url,cite_title,deprecated,is_json,is_xml,patch
audio/evrcwb0,,,,5188,,,,,,,,
audio/evrcwb1,,,,5188,,,,,,,,
audio/example,,,,4735,,,,,,,,
audio/fwdred,,,,6354,,,,,,,,
audio/g711-0,,,,7655,,,,,,,,
audio/g719,,,,5404,,,,,,,,
audio/g722,,,,4856,,,,,,,,
audio/g7221,,,,5577,,,,,,,,
audio/g723,,,,4856,,,,,,,,
audio/g726-16,,,,4856,,,,,,,,
audio/g726-24,,,,4856,,,,,,,,
audio/g726-32,,,,4856,,,,,,,,
audio/g726-40,,,,4856,,,,,,,,
audio/g728,,,,4856,,,,,,,,
audio/g729,,,,4856,,,,,,,,
audio/g7291,,,,4749,,,,,,,,
audio/g729d,,,,4856,,,,,,,,
audio/g729e,,,,4856,,,,,,,,
audio/gsm,,,,4856,,,,,,,,
audio/gsm-efr,,,,4856,,,,,,,,
audio/gsm-hr-08,,,,5993,,,,,,,,
audio/ilbc,,,,3952,,,,,,,,
audio/ip-mr_v2.5,,,,6262,,,,,,,,
audio/l16,,,,4856,,,,,,,,
audio/l20,,,,3190,,,,,,,,
audio/l24,,,,3190,,,,,,,,
audio/l8,,,,4856,,,,,,,,
audio/lpc,,,,4856,,,,,,,,
audio/melp,,,,8130,,,,,,,,
audio/melp1200,,,,8130,,,,,,,,
audio/melp2400,,,,8130,,,,,,,,
audio/melp600,,,,8130,,,,,,,,
audio/mobile-xmf,,,,4723,,,,,,,,
audio/mp4,,,,4337,,,,,,,,
audio/mp4a-latm,,,,6416,,,,,,,,
audio/mpa,,,,3555,,,,,,,,
audio/mpa-robust,,,,5219,,,,,,,,
audio/mpeg,,,,3003,,,,,,,,
audio/mpeg4-generic,,,,3640,,,,,,,,
audio/ogg,,,,5334,,,,,,,,
audio/opus,,,,7587,,,,,,,,
audio/parityfec,,,,5109,,,,,,,,
audio/pcma,,,,4856,,,,,,,,
audio/pcma-wb,,,,5391,,,,,,,,
audio/pcmu,,,,4856,,,,,,,,
audio/pcmu-wb,,,,5391,,,,,,,,
audio/qcelp,,,,3555,,,,,,,,
audio/raptorfec,,,,6682,,,,,,,,
audio/red,,,,3555,,,,,,,,
audio/rtp-midi,,,,6295,,,,,,,,
audio/rtploopback,,,,6849,,,,,,,,
audio/rtx,,,,4588,,,,,,,,
audio/smv,,,,3558,,,,,,,,
audio/smv-qcp,,,,3625,,,,,,,,
audio/smv0,,,,3558,,,,,,,,
audio/speex,,,,5574,,,,,,,,
audio/t140c,,,,4351,,,,,,,,
audio/t38,,,,4612,,,,,,,,
audio/telephone-event,,,,4733,,,,,,,,
audio/tone,,,,4733,,,,,,,,
audio/uemclip,,,,5686,,,,,,,,
audio/ulpfec,,,,5109,,,,,,,,
audio/vdvi,,,,4856,,,,,,,,
audio/vmr-wb,,,,4348,,,,,,,,
audio/vorbis,,,,5215,,,,,,,,
audio/vorbis-config,,,,5215,,,,,,,,
font/collection,,,,8081,,,,,,,,
font/otf,,,,8081,,,,,,,,
font/sfnt,,,,8081,,,,,,,,
font/ttf,,,,8081,,,,,,,,
font/woff,,,,8081,,,,,,,,
font/woff2,,,,8081,,,,,,,,
image/bmp,,,,7903,,,,,,,,
image/emf,,,,7903,,,,,,,,
image/example,,,,4735,,,,,,,,
image/fits,,,,4047,,,,,,,,
image/g3fax,,,,1494,,,,,,,,
image/gif,,,,2045,,,,,,,,
image/ief,,,,1314,,,,,,,,
image/jp2,,,,3745,,,,,,,,
image/jpeg,,,,2045,,,,,,,,
image/jpm,,,,3745,,,,,,,,
image/jpx,,,,3745,,,,,,,,
image/ktx,,,,,,,http://www.khronos.org/opengles/sdk/tools/KTX/file_format_spec/#mimeregistration,,,,,
image/svg+xml,,,,,,,http://www.w3.org/TR/SVG/mimereg.html,,,,,
image/t38,,,,3362,,,,,,,,
image/tiff,,,,3302,,,,,,,,
image/tiff-fx,,,,3950,,,,,,,,
